codigo,codigo_distrito,codigo_concelho,codigo_freguesia,concelho,nome,extinta
010101,01,01,01,AGUEDA,AGADÃO,true
010102,01,01,02,AGUEDA,AGUADA DE BAIXO,true
010103,01,01,03,AGUEDA,AGUADA DE CIMA,false
010104,01,01,04,AGUEDA,AGUEDA,true
010105,01,01,05,AGUEDA,BARRO,true
010106,01,01,06,AGUEDA,BELAZAIMA DO CHÃO,true
010107,01,01,07,AGUEDA,CASTANHEIRA DO VOUGA,true
010108,01,01,08,AGUEDA,ESPINHEL,true
010109,01,01,09,AGUEDA,FERMENTELOS,false
010110,01,01,10,AGUEDA,LAMAS DO VOUGA,true
010111,01,01,11,AGUEDA,MACIEIRA DE ALCOBA,true
010112,01,01,12,AGUEDA,MACINHATA DO VOUGA,false
010113,01,01,13,AGUEDA,OIS DA RIBEIRA,true
010114,01,01,14,AGUEDA,PRESTIMO,true
010115,01,01,15,AGUEDA,RECARDÃES,true
010116,01,01,16,AGUEDA,SEGADÃES,true
010117,01,01,17,AGUEDA,TRAVASSO,true
010118,01,01,18,AGUEDA,TROFA,true
010119,01,01,19,AGUEDA,VALONGO DO VOUGA,false
010120,01,01,20,AGUEDA,BORRALHA,true
010121,01,01,21,AGUEDA,AGUEDA E BORRALHA,false
010122,01,01,22,AGUEDA,BARRO E AGUADA DE BAIXO,false
010123,01,01,23,AGUEDA,"BELAZAIMA DO CHÃO, CASTANHEIRA DO VOUGA E AGADÃO",false
010124,01,01,24,AGUEDA,RECARDÃES E ESPINHEL,false
010125,01,01,25,AGUEDA,TRAVASSO E OIS DA RIBEIRA,false
010126,01,01,26,AGUEDA,"TROFA, SEGADÃES E LAMAS DO VOUGA",false
010127,01,01,27,AGUEDA,PRESTIMO E MACIEIRA DE ALCOBA,false
010201,01,02,01,ALBERGARIA-A-VELHA,ALBERGARIA-A-VELHA,true
010202,01,02,02,ALBERGARIA-A-VELHA,ALQUERUBIM,false
010203,01,02,03,ALBERGARIA-A-VELHA,ANGEJA,false
010204,01,02,04,ALBERGARIA-A-VELHA,BRANCA,false
010205,01,02,05,ALBERGARIA-A-VELHA,FROSSOS,true
010206,01,02,06,ALBERGARIA-A-VELHA,RIBEIRA DE FRAGUAS,false
010207,01,02,07,ALBERGARIA-A-VELHA,SÃO JOÃO DE LOURE,true
010208,01,02,08,ALBERGARIA-A-VELHA,VALMAIOR,true
010209,01,02,09,ALBERGARIA-A-VELHA,ALBERGARIA-A-VELHA E VALMAIOR,false
010210,01,02,10,ALBERGARIA-A-VELHA,SÃO JOÃO DE LOURE E FROSSOS,false
010301,01,03,01,ANADIA,AMOREIRA DA GANDARA,true
010302,01,03,02,ANADIA,ANCAS,true
010303,01,03,03,ANADIA,ARCOS,true
010304,01,03,04,ANADIA,AVELÃS DE CAMINHO,false
010305,01,03,05,ANADIA,AVELÃS DE CIMA,false
010306,01,03,06,ANADIA,MOGOFORES,true
010307,01,03,07,ANADIA,MOITA,false
010308,01,03,08,ANADIA,OIS DO BAIRRO,true
010309,01,03,09,ANADIA,SANGALHOS,false
010310,01,03,10,ANADIA,S. LOURENÇO DO BAIRRO,false
010311,01,03,11,ANADIA,TAMENGOS,true
010312,01,03,12,ANADIA,VILA NOVA DE MONSARROS,false
010313,01,03,13,ANADIA,VILARINHO DO BAIRRO,false
010314,01,03,14,ANADIA,PAREDES DO BAIRRO,true
010315,01,03,15,ANADIA,AGUIM,true
010316,01,03,16,ANADIA,"AMOREIRA DA GANDARA, PAREDES DO BAIRRO E ANCAS",false
010317,01,03,17,ANADIA,ARCOS E MOGOFORES,false
010318,01,03,18,ANADIA,"TAMENGOS, AGUIM E OIS DO BAIRRO",false
010401,01,04,01,AROUCA,ALBERGARIA DA SERRA,true
010402,01,04,02,AROUCA,ALVARENGA,false
010403,01,04,03,AROUCA,AROUCA,true
010404,01,04,04,AROUCA,BURGO,true
010405,01,04,05,AROUCA,CABREIROS,true
010406,01,04,06,AROUCA,CANELAS,true
010407,01,04,07,AROUCA,CHAVE,false
010408,01,04,08,AROUCA,COVELO DE PAIVO,true
010409,01,04,09,AROUCA,ESCARIZ,false
010410,01,04,10,AROUCA,ESPIUNCA,true
010411,01,04,11,AROUCA,FERMEDO,false
010412,01,04,12,AROUCA,JANARDE,true
010413,01,04,13,AROUCA,MANSORES,false
010414,01,04,14,AROUCA,MOLDES,false
010415,01,04,15,AROUCA,ROSSAS,false
010416,01,04,16,AROUCA,SANTA EULALIA,false
010417,01,04,17,AROUCA,S. MIGUEL DO MATO,false
010418,01,04,18,AROUCA,TROPEÇO,false
010419,01,04,19,AROUCA,URRO,false
010420,01,04,20,AROUCA,VARZEA,false
010421,01,04,21,AROUCA,AROUCA E BURGO,false
010422,01,04,22,AROUCA,CABREIROS E ALBERGARIA DA SERRA,false
010423,01,04,23,AROUCA,CANELAS E ESPIUNCA,false
010424,01,04,24,AROUCA,COVELO DE PAIVO E JANARDE,false
010501,01,05,01,AVEIRO,ARADAS,false
010502,01,05,02,AVEIRO,CACIA,false
010503,01,05,03,AVEIRO,EIROL,true
010504,01,05,04,AVEIRO,EIXO,true
010505,01,05,05,AVEIRO,ESGUEIRA,false
010506,01,05,06,AVEIRO,GLORIA,true
010507,01,05,07,AVEIRO,NARIZ,true
010508,01,05,08,AVEIRO,OLIVEIRINHA,false
010509,01,05,09,AVEIRO,REQUEIXO,true
010510,01,05,10,AVEIRO,S. BERNARDO,false
010511,01,05,11,AVEIRO,S. JACINTO,false
010512,01,05,12,AVEIRO,VERA CRUZ,true
010513,01,05,13,AVEIRO,SANTA JOANA,false
010514,01,05,14,AVEIRO,NOSSA SENHORA DE FATIMA,true
010515,01,05,15,AVEIRO,EIXO E EIROL,false
010516,01,05,16,AVEIRO,"REQUEIXO, NOSSA SENHORA DE FATIMA E NARIZ",false
010517,01,05,17,AVEIRO,GLORIA E VERA CRUZ,false
010601,01,06,01,CASTELO DE PAIVA,BAIRROS,true
010602,01,06,02,CASTELO DE PAIVA,FORNOS,false
010603,01,06,03,CASTELO DE PAIVA,PARAISO,true
010604,01,06,04,CASTELO DE PAIVA,PEDORIDO,true
010605,01,06,05,CASTELO DE PAIVA,RAIVA,true
010606,01,06,06,CASTELO DE PAIVA,REAL,false
010607,01,06,07,CASTELO DE PAIVA,SANTA MARIA DE SARDOURA,false
010608,01,06,08,CASTELO DE PAIVA,S. MARTINHO DE SARDOURA,false
010609,01,06,09,CASTELO DE PAIVA,SOBRADO,true
010610,01,06,10,CASTELO DE PAIVA,"RAIVA, PEDORIDO E PARAISO",false
010611,01,06,11,CASTELO DE PAIVA,SOBRADO E BAIRROS,false
010701,01,07,01,ESPINHO,ANTA,true
010702,01,07,02,ESPINHO,ESPINHO,false
010703,01,07,03,ESPINHO,GUETIM,true
010704,01,07,04,ESPINHO,PARAMOS,false
010705,01,07,05,ESPINHO,SILVALDE,false
010706,01,07,06,ESPINHO,ANTA E GUETIM,false
010801,01,08,01,ESTARREJA,AVANCA,false
010802,01,08,02,ESTARREJA,BEDUIDO,true
010803,01,08,03,ESTARREJA,CANELAS,true
010804,01,08,04,ESTARREJA,FERMELÃ,true
010805,01,08,05,ESTARREJA,PARDILHO,false
010806,01,08,06,ESTARREJA,SALREU,false
010807,01,08,07,ESTARREJA,VEIROS,true
010808,01,08,08,ESTARREJA,BEDUIDO E VEIROS,false
010809,01,08,09,ESTARREJA,CANELAS E FERMELÃ,false
010901,01,09,01,SANTA MARIA DA FEIRA,ARGONCILHE,false
010902,01,09,02,SANTA MARIA DA FEIRA,ARRIFANA,false
010903,01,09,03,SANTA MARIA DA FEIRA,CANEDO,true
010904,01,09,04,SANTA MARIA DA FEIRA,ESCAPÃES,false
010905,01,09,05,SANTA MARIA DA FEIRA,ESPARGO,true
010906,01,09,06,SANTA MARIA DA FEIRA,FEIRA,true
010907,01,09,07,SANTA MARIA DA FEIRA,FIÃES,false
010908,01,09,08,SANTA MARIA DA FEIRA,FORNOS,false
010909,01,09,09,SANTA MARIA DA FEIRA,GIÃO,true
010910,01,09,10,SANTA MARIA DA FEIRA,GUISANDE,true
010911,01,09,11,SANTA MARIA DA FEIRA,LOBÃO,true
010912,01,09,12,SANTA MARIA DA FEIRA,LOUREDO,true
010913,01,09,13,SANTA MARIA DA FEIRA,LOUROSA,false
010914,01,09,14,SANTA MARIA DA FEIRA,MILHEIROS DE POIARES,false
010915,01,09,15,SANTA MARIA DA FEIRA,MOSTEIRO,true
010916,01,09,16,SANTA MARIA DA FEIRA,MOZELOS,false
010917,01,09,17,SANTA MARIA DA FEIRA,NOGUEIRA DA REGEDOURA,false
010918,01,09,18,SANTA MARIA DA FEIRA,S. PAIO DE OLEIROS,false
010919,01,09,19,SANTA MARIA DA FEIRA,PAÇOS DE BRANDÃO,false
010920,01,09,20,SANTA MARIA DA FEIRA,PIGEIROS,true
010921,01,09,21,SANTA MARIA DA FEIRA,RIO MEÃO,false
010922,01,09,22,SANTA MARIA DA FEIRA,ROMARIZ,false
010923,01,09,23,SANTA MARIA DA FEIRA,SANFINS,true
010924,01,09,24,SANTA MARIA DA FEIRA,SANGUEDO,false
010925,01,09,25,SANTA MARIA DA FEIRA,SANTA MARIA DE LAMAS,false
010926,01,09,26,SANTA MARIA DA FEIRA,S. JOÃO DE VER,false
010927,01,09,27,SANTA MARIA DA FEIRA,CALDAS DE SÃO JORGE,true
010928,01,09,28,SANTA MARIA DA FEIRA,SOUTO,true
010929,01,09,29,SANTA MARIA DA FEIRA,TRAVANCA,true
010930,01,09,30,SANTA MARIA DA FEIRA,VALE,true
010931,01,09,31,SANTA MARIA DA FEIRA,VILA MAIOR,true
010932,01,09,32,SANTA MARIA DA FEIRA,CALDAS DE SÃO JORGE E PIGEIROS,false
010933,01,09,33,SANTA MARIA DA FEIRA,"CANEDO, VALE E VILA MAIOR",false
010934,01,09,34,SANTA MARIA DA FEIRA,"LOBÃO, GIÃO, LOUREDO E GUISANDE",false
010935,01,09,35,SANTA MARIA DA FEIRA,"SANTA MARIA DA FEIRA, TRAVANCA, SANFINS E ESPARGO",false
010936,01,09,36,SANTA MARIA DA FEIRA,SÃO MIGUEL DO SOUTO E MOSTEIRO,false
011001,01,10,01,ILHAVO,GAFANHA DO CARMO,true
011002,01,10,02,ILHAVO,GAFANHA DA ENCARNAÇÃO,true
011003,01,10,03,ILHAVO,GAFANHA DA NAZARE,true
011004,01,10,04,ILHAVO,ILHAVO (SÃO SALVADOR),true
011005,01,10,05,ILHAVO,GAFANHA DA ENCARNAÇÃO,false
011006,01,10,06,ILHAVO,GAFANHA DA NAZARE,false
011007,01,10,07,ILHAVO,GAFANHA DO CARMO,false
011008,01,10,08,ILHAVO,ILHAVO (SÃO SALVADOR),false
011101,01,11,01,MEALHADA,ANTES,true
011102,01,11,02,MEALHADA,BARCOUÇO,false
011103,01,11,03,MEALHADA,CASAL COMBA,false
011104,01,11,04,MEALHADA,LUSO,false
011105,01,11,05,MEALHADA,MEALHADA,true
011106,01,11,06,MEALHADA,PAMPILHOSA,false
011107,01,11,07,MEALHADA,VACARIÇA,false
011108,01,11,08,MEALHADA,VENTOSA DO BAIRRO,true
011109,01,11,09,MEALHADA,"MEALHADA, VENTOSA DO BAIRRO E ANTES",false
011201,01,12,01,MURTOSA,BUNHEIRO,false
011202,01,12,02,MURTOSA,MONTE,false
011203,01,12,03,MURTOSA,MURTOSA,false
011204,01,12,04,MURTOSA,TORREIRA,false
011301,01,13,01,OLIVEIRA DE AZEMEIS,CARREGOSA,false
011302,01,13,02,OLIVEIRA DE AZEMEIS,CESAR,false
011303,01,13,03,OLIVEIRA DE AZEMEIS,FAJÕES,false
011304,01,13,04,OLIVEIRA DE AZEMEIS,LOUREIRO,false
011305,01,13,05,OLIVEIRA DE AZEMEIS,MACIEIRA DE SARNES,false
011306,01,13,06,OLIVEIRA DE AZEMEIS,MACINHATA DA SEIXA,true
011307,01,13,07,OLIVEIRA DE AZEMEIS,MADAIL,true
011308,01,13,08,OLIVEIRA DE AZEMEIS,NOGUEIRA DO CRAVO,true
011309,01,13,09,OLIVEIRA DE AZEMEIS,OLIVEIRA DE AZEMEIS,true
011310,01,13,10,OLIVEIRA DE AZEMEIS,OSSELA,false
011311,01,13,11,OLIVEIRA DE AZEMEIS,PALMAZ,true
011312,01,13,12,OLIVEIRA DE AZEMEIS,PINDELO,true
011313,01,13,13,OLIVEIRA DE AZEMEIS,PINHEIRO DA BEMPOSTA,true
011314,01,13,14,OLIVEIRA DE AZEMEIS,SANTIAGO DE RIBA-UL,true
